Station,Date,lat,lon,Pressure,Temperature,Conductivity,Turbidity,Oxygen,PAR,BeamTransmission,Fluorescence,Salinity
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,0.5,14.5739,4.33477,0,4.88588,6.04E+01,85.0444,0.4113,35.7827
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,1,14.2439,4.302077,0,4.92083,5.35E+01,84.9998,0.4567,35.785
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,1.5,14.1456,4.29231,6.24E-08,4.9266,5.15E+01,84.9156,0.507,35.7851
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,2,14.0119,4.278986,-0.001,4.93787,4.91E+01,84.8097,0.5588,35.7848
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,2.5,13.8964,4.267429,0.098,4.93003,4.74E+01,84.4749,0.5898,35.784
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,3,13.7721,4.25497,-0.003,4.93446,4.61E+01,84.292,0.6486,35.7829
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,3.5,13.6617,4.243905,0,4.92863,4.59E+01,84.2797,0.6253,35.7817
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,4,13.517,4.229354,-1.36E-08,4.89492,4.75E+01,84.2573,0.5688,35.7797
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,4.5,13.4442,4.222034,6.13E-08,4.87256,5.08E+01,84.3217,0.5782,35.7785
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,5,13.3846,4.216055,0,4.85556,5.50E+01,84.5314,0.582,35.7776
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,5.5,13.3338,4.210985,0.105,4.84407,6.00E+01,84.6292,0.5025,35.7771
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,6,13.293,4.206936,0.02,4.8332,6.50E+01,84.5599,0.5323,35.7767
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,6.5,13.262,4.203872,-0.001,4.82954,7.00E+01,84.619,0.5551,35.7766
Cs1,Jul 27 2010 17:18:13,42.1,-8.93,7,13.2366,4.201391,0,4.82892,7.49E+01,84.5653,0.5682,35.7767
