Depth,Temperature,Oxygen,Irradiance,Salinity
0.5,16.508,5.83945,6.04E+01,35.7685
1,16.5315,5.85881,5.70E+01,35.7679
1.5,16.5183,5.88355,5.30E+01,35.7681
2,16.4921,5.87417,5.13E+01,35.7685
2.5,16.4626,5.86818,5.03E+01,35.7688
3,16.4265,5.87387,5.00E+01,35.7691
3.5,16.375,5.88675,5.01E+01,35.7696
4,16.2956,5.89546,5.05E+01,35.7705
4.5,16.2389,5.90201,5.08E+01,35.771
5,16.1958,5.91179,5.10E+01,35.7712
5.5,16.1623,5.91522,5.10E+01,35.7712
6,16.1334,5.91667,5.10E+01,35.7712
6.5,16.1058,5.91724,5.08E+01,35.7711
7,16.0827,5.91745,5.07E+01,35.7711
7.5,16.0613,5.92003,5.03E+01,35.7709
8,16.0408,5.91085,4.98E+01,35.7708
8.5,16.0208,5.89672,4.89E+01,35.7709
9,15.9993,5.87769,4.76E+01,35.7715
9.5,15.9797,5.86991,4.62E+01,35.7726
10,15.9588,5.86725,4.45E+01,35.7742
10.5,15.9363,5.85697,4.25E+01,35.7761
11,15.9145,5.82633,4.06E+01,35.7783
11.5,15.8962,5.79563,3.91E+01,35.78
12,15.8778,5.77086,3.76E+01,35.7818
12.5,15.859,5.75133,3.62E+01,35.7836
13,15.8401,5.73801,3.48E+01,35.7854
13.5,15.8201,5.72574,3.35E+01,35.7873
14,15.7989,5.71469,3.21E+01,35.7893
14.5,15.7754,5.70246,3.07E+01,35.7915
15,15.7451,5.68505,2.89E+01,35.7944
15.5,15.7124,5.66414,2.72E+01,35.7975
16,15.6781,5.63962,2.56E+01,35.8007
16.5,15.6466,5.61793,2.42E+01,35.8035
17,15.6194,5.59662,2.31E+01,35.8058
17.5,15.5913,5.57926,2.20E+01,35.808
18,15.5596,5.56678,2.09E+01,35.8105
18.5,15.5221,5.55659,1.97E+01,35.8135
19,15.4793,5.53916,1.84E+01,35.8168
19.5,15.4302,5.52086,1.71E+01,35.8205
20,15.3673,5.49807,1.57E+01,35.8252
20.5,15.3124,5.48783,1.46E+01,35.8292
21,15.2565,5.4883,1.37E+01,35.8333
21.5,15.2074,5.48973,1.30E+01,35.837
22,15.1579,5.47442,1.23E+01,35.8406
22.5,15.1052,5.44885,1.17E+01,35.8445
23,15.0538,5.42077,1.11E+01,35.8483
23.5,15.0036,5.39785,1.05E+01,35.8523
24,14.9543,5.37769,1.00E+01,35.8562
24.5,14.9067,5.35699,9.58E+00,35.86
25,14.8611,5.33828,9.17E+00,35.8638
25.5,14.8175,5.31899,8.81E+00,35.8674
26,14.7676,5.30293,8.42E+00,35.8715
26.5,14.7189,5.29014,8.07E+00,35.8754
27,14.6661,5.27302,7.71E+00,35.8797
27.5,14.5981,5.24589,7.28E+00,35.8851
28,14.5347,5.22022,6.90E+00,35.8899
28.5,14.4708,5.20118,6.53E+00,35.8943
29,14.3998,5.17827,6.12E+00,35.8989
29.5,14.3338,5.15756,5.74E+00,35.9026
30,14.2662,5.1356,5.35E+00,35.9062
30.5,14.2268,5.12185,5.12E+00,35.9083
31,14.1926,5.1077,4.93E+00,35.91
31.5,14.1639,5.09049,4.76E+00,35.9113
32,14.1377,5.06958,4.60E+00,35.9125
32.5,14.113,5.05044,4.45E+00,35.9136
33,14.0895,5.04172,4.29E+00,35.9146
33.5,14.0701,5.03927,4.16E+00,35.9156
34,14.0511,5.04141,4.01E+00,35.9167
34.5,14.0352,5.04352,3.87E+00,35.9177
35,14.0219,5.0446,3.74E+00,35.9185
35.5,14.0086,5.03991,3.59E+00,35.9196
36,13.997,5.02723,3.41E+00,35.9206
36.5,13.9908,5.02204,3.29E+00,35.9211
37,13.9863,5.02048,3.19E+00,35.9214
37.5,13.9825,5.01995,3.10E+00,35.9217
38,13.9791,5.01984,3.00E+00,35.9218
38.5,13.9754,5.02004,2.90E+00,35.9219
39,13.9719,5.02496,2.80E+00,35.922
39.5,13.9679,5.02787,2.69E+00,35.9221
40,13.9638,5.0283,2.58E+00,35.9222
40.5,13.9599,5.02575,2.49E+00,35.9222
41,13.9556,5.02446,2.40E+00,35.9223
41.5,13.9503,5.02525,2.31E+00,35.9223
42,13.9437,5.02664,2.22E+00,35.9222
42.5,13.9342,5.03187,2.12E+00,35.9222
43,13.925,5.03337,2.04E+00,35.922
43.5,13.9151,5.03341,1.97E+00,35.9217
44,13.9049,5.02901,1.91E+00,35.9214
44.5,13.8931,5.03176,1.84E+00,35.9209
45,13.8804,5.03219,1.78E+00,35.9204
45.5,13.8673,5.03153,1.72E+00,35.9198
46,13.8537,5.03022,1.67E+00,35.9191
46.5,13.8394,5.0276,1.61E+00,35.9183
47,13.8216,5.02471,1.55E+00,35.9173
47.5,13.8022,5.02292,1.48E+00,35.9161
48,13.7822,5.01855,1.42E+00,35.9146
48.5,13.7598,5.01789,1.37E+00,35.9127
