price_inr,age_yr,mileage_km,transmission,color,engine_cc,seats,tank_size_l
515000,3,3395,Manual,Others,1086,5,35
610000,3,3800,Manual,White,998,4,55
625000,3,7000,Manual,Grey,1196,7,40
650000,3,6000,Manual,White,1197,5,37
700000,3,1000,Manual,White,1199,5,35
755000,3,2272,Manual,White,1197,5,37
795000,3,4000,Automatic,White,1197,5,37
800000,3,10000,Manual,White,1197,5,37
890000,3,7500,Manual,White,1199,5,37
950000,3,10000,Automatic,Bronze,1197,5,37
1000000,3,4000,Automatic,White,999,5,40
1050000,3,1500,Manual,Black,1199,5,44
1085000,3,3383,Manual,Blue,998,5,45
1095000,3,2700,Manual,Silver,1497,5,40
1097000,3,1700,Manual,White,1493,5,45
1195000,3,6200,Manual,Red,998,5,45
1225000,3,16000,Manual,Grey,1462,6,45
1390000,3,32000,Automatic,Brown,1498,5,40
1450000,3,2500,Manual,White,1498,5,40
1475000,3,9500,Manual,White,1497,5,50
1530000,3,2000,Automatic,Grey,1498,5,40
1550000,3,600,Manual,Orange,1498,5,48
1550000,3,12000,Manual,White,2179,7,60
1600000,3,1300,Manual,Red,999,5,50
1625000,3,27800,Manual,White,1493,5,50
1650000,3,10000,Automatic,Black,1997,4,57
1700000,3,8530,Automatic,White,1498,5,40
1700000,3,9000,Manual,Black,1493,5,50
1748999,3,2670,Automatic,White,1497,5,50
1750000,3,23000,Automatic,White,1353,5,50
1825000,3,11000,Automatic,Black,2184,4,57
1875000,3,15000,Automatic,Grey,2184,4,57
1875000,3,18000,Automatic,Black,1353,5,50
1911000,3,1300,Automatic,Black,1353,5,50
1925000,3,9355,Automatic,White,1497,5,50
1950000,3,4500,Automatic,Black,2184,4,57
1989999,3,5800,Automatic,White,1493,5,50
2275000,3,2000,Automatic,Green,1368,5,60
2275000,3,38000,Automatic,Black,1956,5,50
2400000,3,8000,Automatic,White,1493,7,50
2425000,3,11000,Automatic,Black,2393,7,55
2540000,3,18000,Automatic,White,2184,7,60
2598000,3,12050,Automatic,Black,2694,7,65
2750000,3,31000,Automatic,Black,2184,7,60
2765000,3,75,Automatic,Blue,1997,7,60
2850000,3,16000,Automatic,White,2393,7,55
3450000,3,4600,Automatic,Blue,1984,5,55
4100000,3,3826,Automatic,White,1950,5,43
4150000,3,22000,Automatic,White,1984,5,54
4151000,3,1,Automatic,Black,1984,5,54
4500000,3,17000,Automatic,White,1995,5,63
4700000,3,13120,Automatic,White,1998,5,51
4900000,3,5000,Automatic,White,1497,5,66
5100000,3,6000,Automatic,White,1998,5,57
5200000,3,0,Automatic,Yellow,1998,4,44
5300000,3,12500,Automatic,White,2148,5,66
5400000,3,4600,Automatic,White,2148,5,66
5651000,3,1,Automatic,Blue,1984,5,70
6100000,3,500,Automatic,Grey,1950,5,66
6100000,3,15000,Automatic,Red,1995,5,81
6390000,3,6000,Automatic,Grey,1995,5,65
6400000,3,5500,Automatic,White,1950,5,66
6680000,3,18223,Automatic,Blue,1998,5,60
6750000,3,7000,Automatic,Blue,1950,5,66
6800000,3,33000,Automatic,White,1995,5,67
6975000,3,2000,Automatic,White,1991,5,66
7100000,3,2500,Automatic,Grey,1991,5,80
7350000,3,17000,Automatic,Grey,1950,5,80
7780000,3,11000,Automatic,Black,1950,5,80
8100000,3,5500,Automatic,White,1950,5,66
9100000,3,9000,Automatic,Blue,1984,5,65
9200000,3,10000,Automatic,Blue,1950,5,93
