Outgoing Longwave Radiation (OLR) in Watts/square meter
Date,Value
197406,1.1
197407,0.0
197408,1.0
197409,0.9
197410,1.1
197411,1.0
197412,0.1
197501,-0.2
197502,1.1
197503,1.1
197504,0.7
197505,1.4
197506,1.0
197507,1.2
197508,1.4
197509,1.3
197510,1.4
197511,1.3
197512,1.9
197601,1.1
197602,1.2
197603,0.3
197604,0.7
197605,0.4
197606,-0.4
197607,-0.5
197608,-0.6
197609,-0.3
197610,-0.5
197611,0.2
197612,-0.8
197701,-0.7
197702,0.6
197703,-1.1
197704,-0.0
197705,0.4
197706,0.4
197707,-0.2
197708,-0.0
197709,-0.0
197710,-0.2
197711,-0.7
197712,-1.9
197801,-0.9
197802,-0.9
197803,-999.9
197804,-999.9
197805,-999.9
197806,-999.9
197807,-999.9
197808,-999.9
197809,-999.9
197810,-999.9
197811,-999.9
197812,-999.9
197901,-0.7
197902,-0.6
197903,-0.3
197904,0.3
197905,0.0
197906,0.3
197907,0.5
197908,0.2
197909,-0.1
197910,-0.7
197911,-0.5
197912,-0.5
198001,0.6
198002,0.4
198003,-1.1
198004,0.0
198005,-0.2
198006,-0.7
198007,-0.3
198008,-0.9
198009,0.0
198010,-0.3
198011,-0.4
198012,0.3
198101,0.4
198102,-0.7
198103,-0.9
198104,-0.9
198105,0.5
198106,0.4
198107,0.1
198108,0.9
198109,-0.0
198110,0.2
198111,0.3
198112,-0.2
198201,0.9
198202,0.1
198203,-0.6
198204,-0.0
198205,0.4
198206,-0.2
198207,-1.2
198208,-1.6
198209,-1.4
198210,-1.8
198211,-2.0
198212,-0.9
198301,-1.5
198302,-0.7
198303,0.1
198304,0.3
198305,-0.8
198306,-0.9
198307,-1.0
198308,-0.1
198309,-0.1
198310,0.3
198311,0.2
198312,1.1
198401,1.7
198402,1.9
198403,1.2
198404,1.1
198405,0.7
198406,0.5
198407,0.1
198408,0.2
198409,0.3
198410,0.2
198411,-0.2
198412,0.1
198501,0.2
198502,1.2
198503,-0.7
198504,0.8
198505,1.1
198506,0.5
198507,0.3
198508,0.4
198509,-0.0
198510,0.2
198511,-0.1
198512,0.1
198601,0.2
198602,0.9
198603,1.1
198604,0.4
198605,0.4
198606,-0.2
198607,-0.2
198608,0.2
198609,-1.0
198610,-0.8
198611,-1.5
198612,-2.4
198701,-2.3
198702,-2.3
198703,-1.3
198704,-1.3
198705,-1.9
198706,-1.2
198707,-2.2
198708,-1.6
198709,-0.6
198710,-1.2
198711,-0.7
198712,-1.3
198801,-0.9
198802,-0.7
198803,0.4
198804,0.2
198805,0.6
198806,0.9
198807,0.9
198808,1.1
198809,1.1
198810,0.8
198811,1.2
198812,1.6
198901,1.7
198902,1.7
198903,1.3
198904,0.6
198905,0.4
198906,0.6
198907,0.4
198908,0.5
198909,0.5
198910,0.2
198911,-0.6
198912,-0.2
199001,-1.0
199002,-1.0
199003,-1.4
199004,-0.7
199005,-0.0
199006,0.1
199007,-0.2
199008,-0.7
199009,-0.7
199010,-0.1
199011,-0.5
199012,-0.5
199101,-0.4
199102,-0.6
199103,-0.4
199104,-0.0
199105,-0.1
199106,-0.2
199107,-0.5
199108,-1.0
199109,-0.7
199110,-0.6
199111,-2.5
199112,-1.8
199201,-2.2
199202,-1.3
199203,-2.0
199204,-1.6
199205,-1.8
199206,-1.0
199207,-0.4
199208,-0.2
199209,-0.0
199210,-0.5
199211,-1.1
199212,-1.5
199301,-0.7
199302,-1.6
199303,-1.0
199304,-2.0
199305,-1.5
199306,-1.4
199307,-1.3
199308,-0.6
199309,-0.9
199310,-1.5
199311,-0.1
